session,participant_code,participant_label,uid,choice,Payout_High,Payout_Middle,Payout_Low,Left_High,Left_Middle,Left_Low,Right_High,Right_Middle,Right_Low,Page_Time,Time_Started_UTC,Survey_ID
wysgu655,47p8kcoe,LK57856,Q_68,A,$50,$20,$10,0.8,0.2,0.0,,,,1.9231593608856201,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_68,A,$50,$20,$10,0.8,0.2,0.0,,,,2.518559694290161,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_17,A,$100,$50,$20,0.15,0.75,0.1,,,,1.2039947509765625,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_2,A,$100,$50,$20,0.3,0.1,0.6,,,,1.4388203620910645,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_39,A,$100,$50,$20,0.1,0.4,0.5,,,,1.0534393787384033,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_46,A,$250,$100,$50,0.05,0.55,0.4,,,,1.5143592357635498,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_16,A,$100,$50,$20,0.65,0.3,0.05,,,,1.2959990501403809,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_5,A,$100,$50,$20,0.7,0.3,0.0,,,,1.4574434757232666,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_19,A,$100,$50,$20,0.6,0.0,0.4,,,,1.2539088726043701,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_62,A,$50,$20,$10,0.05,0.75,0.2,,,,2.031024932861328,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_57,B,$50,$20,$10,,,,0.0,1.0,0.0,1.7018423080444336,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_13,A,$100,$50,$20,0.9,0.0,0.1,,,,1.98828125,2023-12-28 23:56:15.671643,Part 1
wysgu655,g1ml990e,,,,,,,,,,,,,,2023-12-29 00:02:25.278620,
wysgu655,47p8kcoe,LK57856,Q_61,B,$50,$20,$10,,,,0.9,0.0,0.1,1.4872007369995117,2023-12-28 23:54:11.669184,Part 1
wysgu655,9ap43aes,LK57857,Q_34,A,$100,$50,$20,0.0,1.0,0.0,,,,1.6364707946777344,2023-12-28 23:56:15.671643,Part 1
