session,participant_code,participant_label,uid,choice,Payout_High,Payout_Middle,Payout_Low,Left_High,Left_Middle,Left_low,Right_High,Right_Middle,Right_Low,Page_Time,Time_Started_UTC,Survey_ID
drbn2plg,65oplzis,,Q_68,A,$50,$20,$10,0.8,0.2,0.0,0.6,0.3,0.1,2.0282979011535645,1705343769.537949,Part 2
drbn2plg,65oplzis,,Q_7,A,$100,$50,$20,0.2,0.75,0.05,0.4,0.15,0.45,1.453472137451172,1705343771.669889,Part 2
drbn2plg,65oplzis,,Q_53,A,$100,$75,$20,0.65,0.35,0.0,0.9,0.0,0.1,1.33807110786438,1705343773.2166026,Part 2
drbn2plg,65oplzis,,Q_45,A,$250,$100,$50,0.8,0.2,0.0,0.9,0.0,0.1,1.494781494140625,1705343774.634378,Part 2
drbn2plg,65oplzis,,Q_9,A,$100,$50,$20,0.0,1.0,0.0,0.1,0.8,0.1,1.2409179210662842,1705343776.223918,Part 2
drbn2plg,65oplzis,,Q_10,A,$100,$50,$20,0.0,1.0,0.0,0.5,0.0,0.5,1.0334670543670654,1705343777.537505,Part 2
drbn2plg,65oplzis,,Q_54,A,$100,$75,$20,0.05,0.75,0.2,0.55,0.05,0.4,1.4363889694213867,1705343778.6479108,Part 2
drbn2plg,65oplzis,,Q_48,A,$250,$100,$50,0.65,0.3,0.05,0.75,0.1,0.15,1.7482945919036863,1705343780.1498923,Part 2
drbn2plg,65oplzis,,Q_63,A,$50,$20,$10,0.3,0.15,0.55,0.1,0.4,0.5,1.5366721153259275,1705343781.9689903,Part 2
drbn2plg,65oplzis,,Q_4,A,$100,$50,$20,0.1,0.0,0.9,0.0,0.3,0.7,1.712053298950195,1705343783.572472,Part 2
drbn2plg,65oplzis,,Q_38,A,$100,$50,$20,0.45,0.25,0.3,0.05,0.75,0.2,1.1326985359191897,1705343785.350104,Part 2
drbn2plg,65oplzis,,Q_52,A,$100,$75,$20,0.0,0.35,0.65,0.25,0.0,0.75,1.1457414627075195,1705343786.5559988,Part 2
drbn2plg,65oplzis,,Q_34,A,$100,$50,$20,0.0,1.0,0.0,0.8,0.0,0.2,1.2801146507263184,1705343787.773985,Part 2
drbn2plg,65oplzis,,Q_20,A,$100,$50,$20,0.0,0.25,0.75,0.15,0.0,0.85,1.1826364994049072,1705343789.121372,Part 2
drbn2plg,65oplzis,,Q_61,A,$50,$20,$10,0.5,0.5,0.0,0.9,0.0,0.1,1.183375597000122,1705343790.3866367,Part 2
drbn2plg,65oplzis,,Q_2,A,$100,$50,$20,0.3,0.1,0.6,0.0,1.0,0.0,1.073882818222046,1705343791.6467648,Part 2
drbn2plg,65oplzis,,Q_12,A,$100,$50,$20,0.1,0.0,0.9,0.0,0.2,0.8,1.1758270263671875,1705343792.8021731,Part 2
drbn2plg,65oplzis,,Q_64,A,$50,$20,$10,0.25,0.7,0.05,0.65,0.2,0.15,1.2943050861358645,1705343794.0552986,Part 2
drbn2plg,65oplzis,,Q_49,A,$100,$75,$20,0.25,0.65,0.1,0.0,1.0,0.0,1.8460891246795648,1705343795.4209514,Part 2
drbn2plg,65oplzis,,Q_1,A,$100,$50,$20,0.1,0.7,0.2,0.0,1.0,0.0,1.0608258247375488,1705343797.3284962,Part 2
drbn2plg,65oplzis,,Q_39,A,$100,$50,$20,0.1,0.4,0.5,0.3,0.15,0.55,1.1438286304473877,1705343798.478788,Part 2
drbn2plg,65oplzis,,Q_17,A,$100,$50,$20,0.15,0.75,0.1,0.0,1.0,0.0,1.1387012004852295,1705343799.701875,Part 2
drbn2plg,65oplzis,,Q_44,A,$250,$100,$50,0.1,0.0,0.9,0.0,0.2,0.8,1.5290570259094238,1705343800.9382646,Part 2
drbn2plg,65oplzis,,Q_30,A,$100,$50,$20,0.55,0.05,0.4,0.05,0.75,0.2,2.007127523422241,1705343802.5465243,Part 2
drbn2plg,65oplzis,,Q_35,A,$100,$50,$20,0.8,0.0,0.2,0.4,0.5,0.1,1.8243796825408936,1705343804.640257,Part 2
drbn2plg,65oplzis,,Q_28,A,$100,$50,$20,0.0,0.35,0.65,0.25,0.0,0.75,1.5704903602600098,1705343806.5431504,Part 2
drbn2plg,65oplzis,,Q_55,A,$100,$75,$20,0.1,0.5,0.4,0.35,0.15,0.5,4.622499704360962,1705343808.1957977,Part 2
drbn2plg,65oplzis,,Q_47,A,$250,$100,$50,0.5,0.15,0.35,0.35,0.45,0.2,1.0262565612792969,1705343812.893808,Part 2
drbn2plg,65oplzis,,Q_42,A,$250,$100,$50,0.5,0.0,0.5,0.0,1.0,0.0,1.098952293395996,1705343813.9960349,Part 2
drbn2plg,65oplzis,,Q_57,A,$50,$20,$10,0.4,0.5,0.1,0.0,1.0,0.0,1.5064387321472168,1705343815.156362,Part 2
drbn2plg,65oplzis,,Q_60,A,$50,$20,$10,0.0,0.25,0.75,0.2,0.0,0.8,1.1568684577941897,1705343816.758834,Part 2
drbn2plg,65oplzis,,Q_32,A,$100,$50,$20,0.5,0.45,0.05,0.75,0.1,0.15,1.912541151046753,1705343818.012443,Part 2
drbn2plg,65oplzis,,Q_29,A,$100,$50,$20,0.65,0.35,0.0,0.9,0.0,0.1,1.0621991157531738,1705343820.0144837,Part 2
drbn2plg,65oplzis,,Q_14,A,$100,$50,$20,0.25,0.15,0.6,0.05,0.55,0.4,1.6020987033843994,1705343821.163283,Part 2
drbn2plg,65oplzis,,Q_11,A,$100,$50,$20,0.5,0.0,0.5,0.1,0.8,0.1,1.9310238361358645,1705343822.8601687,Part 2
drbn2plg,65oplzis,,Q_65,A,$100,$50,$20,0.1,0.3,0.6,0.25,0.25,0.5,1.2217390537261963,1705343824.8838108,Part 2
drbn2plg,65oplzis,,Q_59,A,$50,$20,$10,0.8,0.0,0.2,0.4,0.5,0.1,2.299318790435791,1705343826.180009,Part 2
drbn2plg,65oplzis,,Q_26,A,$100,$50,$20,0.5,0.3,0.2,0.0,1.0,0.0,1.5124733448028564,1705343828.547807,Part 2
