Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,UID,Choice,High,Middle,Low,Payout H,Payout M,Payout L
0.0,0.0,0.0,0.0,1.0,Q_66,A,0.0,0.3,0.7,$250,$100,$50
1.0,1.0,1.0,2.0,,Q_35,A,0.8,0.0,0.2,$100,$50,$20
2.0,2.0,3.0,,,Q_32,B,0.75,0.1,0.15,$100,$50,$20
3.0,4.0,,,,Q_14,A,0.25,0.15,0.6,$100,$50,$20
5.0,,,,,Q_58,B,0.0,1.0,0.0,$50,$20,$10
,,,,,Q_67,A,0.4,0.1,0.5,$100,$75,$20
,,,,,Q_43,B,0.1,0.8,0.1,$250,$100,$50
,,,,,Q_30,A,0.55,0.05,0.4,$100,$50,$20
,,,,,Q_61,B,0.9,0.0,0.1,$50,$20,$10
,,,,,Q_48,A,0.65,0.3,0.05,$250,$100,$50
